Project Organization,Month Year,Total IC Amount
Veterinary Science,2021-10,4862.25
Veterinary Science,2021-11,1955.09
Veterinary Science,2021-12,2046.27
Veterinary Science,2022-01,3177.42
Veterinary Science,2022-02,2454.51
Veterinary Science,2022-03,2465.99
Veterinary Science,2022-04,2929.71
Veterinary Science,2022-05,927.7
Veterinary Science,2022-06,1110.94
Veterinary Science,2022-09,441.91
Veterinary Science,2022-10,728.02
Veterinary Science,2022-11,586.82
Veterinary Science,2022-12,307.13
Veterinary Science,2023-01,8553.66
Veterinary Science,2023-02,4815.73
Veterinary Science,2023-03,5860.86
Veterinary Science,2023-04,2117.62
Veterinary Science,2023-05,1073.77
Veterinary Science,2023-06,1646.16
Veterinary Science,2023-07,6751.92
Veterinary Science,2023-08,5929.62
Veterinary Science,2023-09,7709.18
Veterinary Science,2023-10,2656.31
Veterinary Science,2023-11,877.42
Veterinary Science,2023-12,2338.29
Veterinary Science,2024-01,5800.7
Veterinary Science,2024-02,33967.79
Veterinary Science,2024-03,3492.44
Veterinary Science,2024-04,2805.32
Veterinary Science,2024-05,5236.37
